Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p
baseL2_0	1.0	1.0000000000000018	0.0	1.0000000000000018	0.0	NA
Coding_UCSCL2_0	0.013632416112370094	0.06150609093320019	0.013965325132342837	4.5117527535995166	1.0244203974723645	0.0008149921190931586
Coding_UCSC.extend.500L2_0	0.06084504707893213	0.12324493504268547	0.021799382396874078	2.0255541076795316	0.358277024070579	0.0043514599898039205
Conserved_LindbladTohL2_0	0.02526589208575044	0.3530169805022113	0.03868875984020141	13.972076636126664	1.5312643507260626	3.481480504272699e-15
Conserved_LindbladToh.extend.500L2_0	0.32011543392820085	0.6435011012791509	0.042758933890665075	2.010215794292139	0.13357348430833715	8.024202758185941e-13
CTCF_HoffmanL2_0	0.02245033222566283	-0.020090884662075016	0.024661217916391417	-0.894903668245464	1.0984789743200922	0.08362568768466086
CTCF_Hoffman.extend.500L2_0	0.06670162631125927	0.08819791467994198	0.02769461910890416	1.3222753260673366	0.4152015571504783	0.4381107139549668
DGF_ENCODEL2_0	0.13148248520128383	0.2728698712570067	0.06555592761709804	2.0753324736695977	0.4985905728564517	0.03368929194294311
DGF_ENCODE.extend.500L2_0	0.5155588032461472	0.6580211852785753	0.059536328048896366	1.2763261554946452	0.11547921919678962	0.01868451225185651
DHS_peaks_TrynkaL2_0	0.10792381146015398	0.15172656771276272	0.06377408474253678	1.4058673953410266	0.5909176471781901	0.49378696223955554
DHS_TrynkaL2_0	0.16197219366233984	0.277050588630776	0.07130104436989104	1.7104824128537628	0.4402054621704445	0.11144481764590138
DHS_Trynka.extend.500L2_0	0.47801392313139107	0.7028516654786818	0.05327310858216607	1.4703581453745436	0.11144677174502082	4.097833743617172e-05
Enhancer_AnderssonL2_0	0.004116481375517747	-0.008021892747996317	0.010584720017217547	-1.9487256266250859	2.571302783043993	0.25046567744770426
Enhancer_Andersson.extend.500L2_0	0.018142445118474446	0.017763808574528472	0.01502948482020105	0.9791297952688633	0.8284156144364759	0.979856756993466
Enhancer_HoffmanL2_0	0.0605969409639971	0.06943750420630862	0.03477261067104182	1.1458912463512643	0.5738344232871677	0.7993602737615945
Enhancer_Hoffman.extend.500L2_0	0.1463373146061026	0.2697235856607896	0.032740544757331305	1.8431634227183056	0.22373339872649234	0.00020318818991178102
FetalDHS_TrynkaL2_0	0.0817871155592394	0.2667759786614161	0.0554058588214208	3.2618338088740524	0.6774399420076096	0.0012933499587240243
FetalDHS_Trynka.extend.500L2_0	0.273344327839603	0.5101855044233893	0.047314474038170025	1.8664572572464846	0.17309477175591478	1.5072767355283541e-06
H3K27ac_HniszL2_0	0.37121455743757215	0.5050358811592188	0.028122467427290177	1.3604958939255816	0.07575798649011653	3.4341822299733348e-06
H3K27ac_Hnisz.extend.500L2_0	0.4009695094527759	0.5524516591928466	0.030825355548011805	1.377789697642612	0.07687705628809728	1.8046147218695602e-06
H3K27ac_PGC2L2_0	0.2555036696722902	0.40565797604638365	0.038495447835392556	1.58767964689776	0.15066495085869777	0.0001492375788927042
H3K27ac_PGC2.extend.500L2_0	0.31847665864976926	0.5238228812686541	0.03452343519870786	1.6447763659964334	0.10840177532970632	6.116145996618721e-09
H3K4me1_peaks_TrynkaL2_0	0.1649048448464468	0.43227104636014135	0.05682471611946116	2.621336242501886	0.344590943779573	3.325795962120918e-06
H3K4me1_TrynkaL2_0	0.409153823945981	0.6553062739493494	0.04337337300923401	1.6016134656384562	0.106007497598166	6.652081723824606e-08
H3K4me1_Trynka.extend.500L2_0	0.5811203827980431	0.7743243107235394	0.036611755554764015	1.3324679939726713	0.06300201582756684	2.401630437574898e-07
H3K4me3_peaks_TrynkaL2_0	0.03954482676942521	0.17339052380505415	0.04148125291801755	4.384657563833714	1.04896787536542	0.0014611009460285592
H3K4me3_TrynkaL2_0	0.1262888642963558	0.31875622896276146	0.042622143289639945	2.524024827832421	0.33749724116309004	8.179861616779329e-06
H3K4me3_Trynka.extend.500L2_0	0.2417387289954856	0.3524620475707003	0.03846839941959064	1.4580288770248413	0.15913213236224563	0.003942616148261635
H3K9ac_peaks_TrynkaL2_0	0.0370092460207822	0.21199156629257535	0.03411081133156206	5.728070390127198	0.9216834980212094	6.841177812993231e-07
H3K9ac_TrynkaL2_0	0.12039034691072659	0.303865168754716	0.041449106402584944	2.5239994447398844	0.3442892845330932	1.4149918096204671e-05
H3K9ac_Trynka.extend.500L2_0	0.2191390969440674	0.4314695877024608	0.031138178318402845	1.9689302078879525	0.14209321272484063	1.4969316163749686e-10
Intron_UCSCL2_0	0.3690176692149966	0.5064204407696833	0.023965187775791635	1.3723474050632336	0.06494319859201395	1.4970924428282742e-08
Intron_UCSC.extend.500L2_0	0.3778164615303836	0.5194454574632901	0.021218760912349255	1.3748618981799363	0.05616155745676228	5.465165662102076e-11
PromoterFlanking_HoffmanL2_0	0.00793167905771344	0.0355147695909952	0.01589066306710806	4.4775853047732195	2.00344251847339	0.08255338518286612
PromoterFlanking_Hoffman.extend.500L2_0	0.03129055943651226	0.08696470430801524	0.02310494362353729	2.7792633265143243	0.7383998253663897	0.014870464474080783
Promoter_UCSCL2_0	0.02881251783419969	0.051153855226962294	0.020006484794474304	1.7754038547177584	0.6943678060210045	0.2680852913026223
Promoter_UCSC.extend.500L2_0	0.03572795156109743	0.07028513468433573	0.017795649399492904	1.9672310225830596	0.49808759310090955	0.05731120065446421
Repressed_HoffmanL2_0	0.434135039847117	0.4244928156848907	0.07071168908351293	0.9777898043760259	0.16287947894833468	0.8910517574036928
Repressed_Hoffman.extend.500L2_0	0.6791952705841263	0.6047063305317197	0.045696714445883475	0.890327652033937	0.06728067232650643	0.10576080498730785
SuperEnhancer_HniszL2_0	0.15905950503920463	0.23734161493503247	0.019417294052671605	1.4921561265800056	0.12207565997320106	0.0001253861497684184
SuperEnhancer_Hnisz.extend.500L2_0	0.16202184843584946	0.23993851699636004	0.01866603103908964	1.4809022320922398	0.11520687622867248	6.894755858420325e-05
TFBS_ENCODEL2_0	0.12583794527205197	0.26104243305383124	0.04938130527514692	2.0744333713450067	0.39241983146171316	0.006395897715731471
TFBS_ENCODE.extend.500L2_0	0.3270489849373251	0.39794845829080794	0.05514919031351181	1.216785486636107	0.16862669769203065	0.19230944337619665
Transcribed_HoffmanL2_0	0.32865605497186035	0.3409153933649851	0.06477615088350988	1.0373014225895654	0.1970940437688149	0.8489135381656869
Transcribed_Hoffman.extend.500L2_0	0.7246745137984073	0.7765874798347476	0.05240900597967148	1.0716362519281057	0.07232075225740699	0.3159005106959091
TSS_HoffmanL2_0	0.016945697975846642	0.09482591673796067	0.02363157614645048	5.595869634471222	1.3945472284548845	0.0012170535455032323
TSS_Hoffman.extend.500L2_0	0.03234689764188474	0.11874348937664059	0.02040655894731562	3.670939040005007	0.630866031519881	3.1668090380284944e-05
UTR_3_UCSCL2_0	0.01036241442310128	0.04757584924266851	0.013244899779697393	4.5911934516540915	1.278167349702796	0.005599619280654469
UTR_3_UCSC.extend.500L2_0	0.024916127887211197	0.07652120067254577	0.015383325404899884	3.0711513851163894	0.6174043364416887	0.0011878631156672528
UTR_5_UCSCL2_0	0.0049607802777949725	0.018938937174403113	0.008020403658897342	3.81773352453766	1.61676252721726	0.08255110042303308
UTR_5_UCSC.extend.500L2_0	0.025351781423713072	0.06717288573552233	0.016683676047183613	2.6496317798279616	0.6580869315786365	0.013896335135632293
WeakEnhancer_HoffmanL2_0	0.020276090605870437	0.03567499860613224	0.023075534091407193	1.759461392217464	1.1380662347566275	0.5065015481248145
WeakEnhancer_Hoffman.extend.500L2_0	0.08480062350291277	0.1723066470667095	0.03324544043882969	2.0319030680333503	0.3920424056515075	0.01067161077335312
34k_neg_enhs	0.003314623884382215	0.006071672770978214	0.010495993852669491	1.831783328294535	3.166571598703649	0.7930648540597831
2022_11_08_sig_ES_sig_contact_EPs_in_Neural_22k	0.0022282579612454556	0.02875168650372705	0.008354147243089069	12.90321273559219	3.7491831683705183	0.0016777235201047174
